name,type,address,latitude,longitude
Brussels American School,School,"J.F. Kennedylaan 1, 1933 Zaventem",50.8636459,4.4820472
ULB,University,"Avenue Paul Héger 42, 1000 Bruxelles",50.8141071,4.3816692
European School of Brussels III,School,"Boulevard du Triomphe 135, 1050 Ixelles",50.8288464,4.3634631
Maria-Boodschaplyceum,University,"Rue de la Braie 22, 1000 Bruxelles",50.8553738,4.2353095
Brussels International Catholic School ,School,"Rue Général Leman 86, 1040 Etterbeek",50.8288464,4.3634631
Vlerick Business School,University,"Avenue du Boulevard 21, 1210 Bruxelles",50.8553738,4.2353095
Atheneum Campus Comenius,School,"Rue Félix Vande Sande 11, 1081 Koekelberg",50.8553738,4.2353095
